episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
1,0.00,67.00,67.00,36.153,37.646,0.000,20,0,0,0,5,1,0,0.000,0,1,16,3
2,67.00,128.56,61.56,40.875,29.967,0.000,20,0,0,0,6,0,0,0.000,0,1,15,4
3,128.56,185.08,56.52,28.089,38.036,0.217,20,0,0,0,3,0,0,0.000,0,1,17,2
4,185.08,248.56,63.48,48.884,36.421,0.000,20,0,0,0,8,1,0,0.000,0,1,15,4
5,248.56,313.68,65.12,55.579,27.791,0.000,20,0,0,0,15,0,0,0.000,0,3,11,6
6,313.68,382.56,68.88,71.079,27.757,0.700,20,0,0,0,17,1,0,0.000,0,3,9,8
7,382.56,448.68,66.12,64.544,26.749,0.000,20,0,0,0,16,1,0,0.000,0,3,9,8
8,448.68,516.12,67.44,73.878,28.477,0.417,20,0,0,0,19,2,0,0.000,0,3,10,7
9,516.12,582.06,65.94,99.468,25.937,0.000,20,0,0,0,25,4,0,0.000,0,6,6,8
10,582.06,671.20,89.14,127.005,35.689,6.817,21,0,1,0,29,4,1,1.500,0,8,5,8
11,671.20,736.86,65.66,103.550,30.353,0.083,20,0,0,0,30,2,0,0.000,0,7,3,10
12,736.86,806.24,69.38,106.719,39.297,13.533,20,0,0,0,32,3,0,0.000,0,9,7,4
13,806.24,872.20,65.96,108.778,44.112,17.866,20,0,0,0,32,3,0,0.000,0,8,1,11
14,872.20,940.26,68.06,107.608,32.067,6.367,20,0,0,0,26,8,0,0.000,0,8,7,5
15,940.26,1001.66,61.40,102.769,26.152,0.300,20,0,0,0,26,4,0,0.000,0,4,7,9
16,1001.66,1069.36,67.70,104.917,33.538,7.750,20,0,0,0,28,7,0,0.000,0,8,6,6
17,1069.36,1139.04,69.68,132.154,28.767,4.300,20,0,0,0,37,6,0,0.000,0,11,1,8
18,1139.04,1239.38,100.34,128.806,27.847,0.550,21,0,1,0,32,6,1,1.500,0,9,5,7
19,1239.38,1302.68,63.30,103.151,34.375,7.851,20,0,0,0,29,3,0,0.000,0,7,5,8
20,1302.68,1442.00,139.32,220.226,37.030,6.401,23,0,2,0,50,10,3,4.500,0,15,1,7
21,1442.00,1537.30,95.30,143.428,57.234,29.747,22,0,1,0,31,6,2,3.000,0,6,10,6
22,1537.30,1604.48,67.18,119.331,26.793,1.200,20,0,0,0,33,6,0,0.000,0,13,3,4
23,1604.48,1672.92,68.44,120.441,26.386,0.984,20,0,0,0,36,6,0,0.000,0,9,5,6
24,1672.92,1780.34,107.42,160.640,26.522,0.000,21,0,1,0,38,6,1,3.000,0,13,4,4
25,1780.34,1900.24,119.90,141.574,34.646,7.935,21,0,1,0,35,7,1,1.500,0,9,4,8
26,1900.24,1999.32,99.08,147.336,42.367,15.453,21,0,1,0,42,5,1,1.500,0,9,4,8
27,1999.32,2120.76,121.44,161.341,49.280,23.544,21,0,1,0,40,6,1,1.500,0,12,4,5
28,2120.76,2235.18,114.42,199.596,38.456,11.755,22,0,1,0,48,8,2,4.500,0,15,2,5
29,2235.18,2340.74,105.56,140.253,29.417,2.799,21,0,1,0,37,3,1,1.500,0,10,1,10
30,2340.74,2462.92,122.18,159.152,27.873,0.916,21,0,1,0,42,6,1,1.500,0,11,4,6
31,2462.92,2529.50,66.58,143.880,32.265,6.848,20,0,0,0,41,8,0,1.500,0,12,2,6
32,2529.50,2598.06,68.56,142.366,31.618,7.432,20,0,0,0,38,8,0,2.850,0,13,3,4
33,2598.06,2712.30,114.24,159.236,36.836,10.547,21,0,1,0,37,9,1,1.500,0,13,3,5
34,2712.30,2782.26,69.96,131.455,28.556,2.866,20,0,0,0,41,4,0,1.200,0,11,3,6
35,2782.26,2850.90,68.64,159.339,31.629,7.715,20,0,0,0,39,10,0,1.050,0,16,3,1
36,2850.90,2918.94,68.04,147.328,29.455,2.833,20,0,0,0,44,4,0,1.500,0,10,3,7
37,2918.94,3032.28,113.34,202.365,32.168,2.683,22,0,1,0,53,7,2,4.500,0,13,1,8
38,3032.28,3101.56,69.28,133.069,28.727,4.149,20,0,0,0,36,8,0,0.000,0,9,6,5
39,3101.56,3216.04,114.48,168.021,26.533,0.017,21,0,1,0,48,8,1,1.500,0,15,1,5
40,3216.04,3285.30,69.26,154.838,26.735,2.000,20,0,0,0,46,6,0,1.500,0,13,1,6
41,3285.30,3392.32,107.02,195.981,28.424,0.000,23,0,1,0,46,7,3,4.500,0,11,4,8
42,3392.32,3517.26,124.94,193.602,26.927,0.217,22,0,1,0,45,8,2,3.000,0,13,4,5
