episode,agentID,type,parents,generation,speed,sightRange,maxSize,maxLifetime,age,reasonOfDeath,lifetimeScore
0,-7662,Prey,-1,0,19.442,1.390,1.943,108.825,33.341,Starvation,-0.3005225
0,-7802,Prey,-1,0,16.932,1.388,1.730,105.560,33.341,Starvation,-0.3005225
0,-8082,Prey,-1,0,14.089,1.432,1.839,98.088,33.341,Starvation,-0.3005225
0,-8222,Prey,-1,0,18.208,0.954,1.556,100.396,33.341,Starvation,-0.2918301
0,-8362,Prey,-1,0,19.280,1.189,1.570,103.092,33.341,Starvation,-0.3005225
0,-8922,Prey,-1,0,17.178,1.351,2.318,106.484,33.341,Starvation,-0.8005225
0,-9062,Prey,-1,0,19.076,1.085,2.394,99.126,33.341,Starvation,0.983478
0,-9202,Prey,-1,0,11.321,1.174,1.522,97.855,33.341,Starvation,0.6180171
0,-9342,Prey,-1,0,10.908,1.301,2.236,106.174,33.341,Starvation,1.583478
0,-9762,Prey,-1,0,13.655,0.976,2.260,108.457,33.341,Starvation,-0.3005225
0,-10042,Prey,-1,0,19.898,1.141,1.590,92.454,33.341,Starvation,-7.300518
0,-10182,Prey,-1,0,16.212,1.267,1.939,109.681,33.341,Starvation,-0.3005225
0,-7514,Prey,-1,0,11.565,0.834,2.241,105.906,33.341,Starvation,-0.2985227
0,-9902,Prey,-1,0,13.820,1.395,2.086,96.394,46.481,Starvation,1.830909
0,-8502,Prey,-1,0,19.149,1.335,1.851,92.113,50.001,Dehydration,1.546451
0,-8642,Prey,-1,0,13.651,1.342,1.983,92.364,50.001,Dehydration,2.404549
0,-8782,Prey,-1,0,13.002,0.979,1.988,98.364,50.001,Dehydration,1.670366
0,-9482,Prey,-1,0,10.417,0.834,1.983,106.109,50.001,Dehydration,0.1695663
0,-9622,Prey,-1,0,15.969,0.977,1.668,97.693,50.001,Dehydration,1.300918
0,-7942,Prey,-1,0,15.250,1.123,2.368,96.119,66.301,Starvation,3.638198
1,-12916,Prey,-1,0,15.603,1.030,1.973,97.998,33.341,Starvation,0.6749218
1,-13056,Prey,-1,0,19.199,1.376,1.561,95.059,33.341,Starvation,-0.3005225
1,-14036,Prey,-1,0,12.217,1.169,2.257,106.870,33.341,Starvation,-0.3005225
1,-14176,Prey,-1,0,13.309,1.222,2.015,91.015,33.341,Starvation,-0.3005225
1,-14456,Prey,-1,0,13.284,1.207,2.184,91.145,33.341,Starvation,-0.3005225
1,-14736,Prey,-1,0,11.748,1.144,2.078,95.428,33.341,Starvation,-0.3005225
1,-14876,Prey,-1,0,14.996,0.899,2.047,91.888,33.341,Starvation,-5.300521
1,-15016,Prey,-1,0,10.477,1.202,2.081,102.075,33.341,Starvation,-0.3005225
1,-15296,Prey,-1,0,15.156,0.874,1.661,103.003,33.341,Starvation,-0.8005226
1,-15436,Prey,-1,0,15.178,1.420,1.803,90.666,33.341,Starvation,-0.3005225
1,-13896,Prey,-1,0,12.844,1.352,1.943,90.542,44.521,Starvation,0.7311229
1,-13476,Prey,-1,0,12.586,1.011,2.308,100.445,46.481,Starvation,1.010012
1,-13196,Prey,-1,0,13.166,1.028,1.958,95.652,50.001,Dehydration,0.669715
1,-13336,Prey,-1,0,15.135,0.818,2.453,97.521,50.001,Dehydration,0.6802714
1,-13616,Prey,-1,0,18.466,1.469,2.440,103.262,50.001,Dehydration,3.78341
1,-15156,Prey,-1,0,12.132,1.313,1.776,103.867,50.001,Dehydration,-1.419548
1,-13756,Prey,-1,0,19.648,0.887,2.100,102.465,67.521,Dehydration,2.236715
1,-15576,Prey,-1,0,18.633,1.214,2.169,104.111,73.360,Starvation,6.278029
1,-14316,Prey,-1,0,14.058,1.315,1.679,98.482,83.698,Dehydration,5.942533
1,-14596,Prey,-1,0,18.052,1.141,2.464,105.514,105.514,Natural,2.931585
2,-18196,Prey,-1,0,10.807,1.454,2.085,103.704,33.341,Starvation,-0.3005225
2,-18336,Prey,-1,0,10.652,1.320,1.654,108.184,33.341,Starvation,-0.3005225
2,-18476,Prey,-1,0,12.955,0.871,1.993,92.265,33.341,Starvation,-2.800523
2,-18756,Prey,-1,0,17.298,1.108,2.051,94.678,33.341,Starvation,-0.3005225
2,-19036,Prey,-1,0,14.164,1.327,1.908,106.695,33.341,Starvation,-0.3005225
