episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst,diedFromHealthOver
1,0.00,66.28,66.28,40.559,35.306,1.117,20,0,0,0,6,2,0,0.000,0,0,15,5,0
2,66.28,171.80,105.52,58.224,42.925,0.000,20,0,0,0,11,1,0,0.000,0,1,13,6,0
3,171.80,233.38,61.58,33.909,33.965,0.367,20,0,0,0,5,0,0,0.000,0,0,16,4,0
4,233.38,314.68,81.30,45.438,31.722,0.000,20,0,0,0,8,1,0,0.000,0,0,17,3,0
5,314.68,407.12,92.44,71.972,51.636,0.000,20,0,0,0,14,3,0,0.000,0,1,13,6,0
6,407.12,490.18,83.06,40.953,40.627,0.000,20,0,0,0,6,0,0,0.000,0,0,16,4,0
7,490.18,549.66,59.48,42.391,29.033,1.783,20,0,0,0,6,1,0,0.000,0,0,17,3,0
8,549.66,648.96,99.30,43.853,28.549,0.000,20,0,0,0,7,1,0,0.000,0,0,14,6,0
9,648.96,742.12,93.16,60.023,30.813,0.000,20,0,0,0,10,4,0,0.000,0,0,15,5,0
10,742.12,844.76,102.64,60.476,33.163,0.000,20,0,0,0,10,1,0,0.000,0,1,14,5,0
11,844.76,920.04,75.28,45.358,31.515,0.000,20,0,0,0,12,1,0,0.000,0,0,14,6,0
12,920.04,985.38,65.34,50.260,27.998,0.000,20,0,0,0,8,1,0,0.000,0,0,13,7,0
13,985.38,1073.60,88.22,52.943,29.676,0.583,20,0,0,0,12,0,0,0.000,0,0,11,9,0
14,1073.60,1141.12,67.52,56.381,33.649,0.417,20,0,0,0,10,2,0,0.000,0,0,15,5,0
15,1141.12,1224.74,83.62,56.325,32.207,0.000,20,0,0,0,11,0,0,0.000,0,0,13,7,0
16,1224.74,1319.78,95.04,68.600,30.109,0.017,20,0,0,0,11,4,0,0.000,0,0,15,5,0
17,1319.78,1414.32,94.54,65.782,27.392,0.000,20,0,0,0,15,3,0,0.000,0,0,12,8,0
