episode,agentID,type,parents,generation,speed,sightRange,maxSize,maxLifetime,age,reasonOfDeath,lifetimeScore
0,-350,Prey,-1,0,18.178,0.828,1.979,236.759,33.341,Starvation,-4.032683
0,-490,Prey,-1,0,14.854,1.129,2.534,210.005,33.341,Starvation,-1.016044
0,-770,Prey,-1,0,17.722,0.804,3.468,220.724,33.341,Starvation,-1.016044
0,-910,Prey,-1,0,15.791,1.330,1.767,238.110,33.341,Starvation,-1.016044
0,-1050,Prey,-1,0,12.834,1.144,1.934,243.683,33.341,Starvation,-2.749395
0,-1330,Prey,-1,0,12.321,1.209,2.260,240.360,33.341,Starvation,-1.366044
0,-1470,Prey,-1,0,18.848,1.447,2.562,220.075,33.341,Starvation,-1.099378
0,-1610,Prey,-1,0,11.728,1.432,2.928,249.440,33.341,Starvation,-1.016044
0,-1750,Prey,-1,0,12.003,0.846,1.516,241.999,33.341,Starvation,-1.016044
0,-1890,Prey,-1,0,17.253,1.466,3.133,225.751,33.341,Starvation,-1.016044
0,-2170,Prey,-1,0,16.803,1.250,2.867,208.870,33.341,Starvation,-0.08482474
0,-2590,Prey,-1,0,10.670,1.192,2.608,244.612,33.341,Starvation,-2.499391
0,-2730,Prey,-1,0,13.183,1.465,3.067,220.157,33.341,Starvation,-1.016044
0,-3010,Prey,-1,0,16.733,1.128,2.482,219.130,33.341,Starvation,-2.249389
0,-3150,Prey,-1,0,12.443,1.428,2.491,207.535,33.341,Starvation,-1.449375
0,-3570,Prey,-1,0,15.512,0.886,2.059,215.026,33.341,Starvation,-1.016044
0,-3990,Prey,-1,0,11.510,0.816,1.703,200.540,33.341,Starvation,-1.016044
0,-4130,Prey,-1,0,12.133,1.193,3.461,209.967,33.341,Starvation,-3.399349
0,-3850,Prey,-1,0,16.361,1.371,2.948,200.590,38.521,Starvation,-2.682236
0,-630,Prey,-1,0,19.563,0.854,1.906,202.318,40.661,Starvation,-1.052328
0,-1190,Prey,-1,0,19.508,1.004,3.118,243.330,42.341,Starvation,-1.775364
0,-4270,Prey,-1,0,15.411,0.902,2.845,209.165,42.961,Starvation,-0.1989749
0,-202,Prey,-1,0,12.799,1.073,3.178,202.232,46.121,Starvation,-2.288984
0,-3710,Prey,-1,0,14.480,0.912,2.958,213.551,46.241,Starvation,-5.858514
0,-2030,Prey,-1,0,15.727,1.275,1.854,200.061,49.021,Starvation,-0.07600087
0,-2310,Prey,-1,0,12.805,0.912,2.356,211.044,50.001,Dehydration,-2.072173
0,-2450,Prey,-1,0,16.893,1.235,3.427,220.758,50.001,Dehydration,-0.8928117
0,-2870,Prey,-1,0,17.817,1.464,1.822,225.493,50.001,Dehydration,-0.2768394
0,-3430,Prey,-1,0,11.983,1.191,2.507,249.904,50.001,Dehydration,-0.3339245
0,-3290,Prey,-1,0,17.460,1.326,2.523,226.625,65.521,Dehydration,2.494413
1,-6582,Prey,-1,0,14.110,1.137,3.321,206.872,33.341,Starvation,-1.016044
1,-7142,Prey,-1,0,16.993,0.979,3.162,217.447,33.341,Starvation,-1.016044
1,-7282,Prey,-1,0,10.509,1.199,2.488,236.097,33.341,Starvation,-0.7160441
1,-7422,Prey,-1,0,12.617,1.384,2.441,212.193,33.341,Starvation,-4.516019
1,-7562,Prey,-1,0,14.398,1.319,2.348,237.516,33.341,Starvation,-1.016044
1,-7842,Prey,-1,0,12.553,0.833,3.195,231.141,33.341,Starvation,-1.016044
1,-8122,Prey,-1,0,12.723,1.112,3.309,248.896,33.341,Starvation,-1.016044
1,-8402,Prey,-1,0,14.835,1.108,1.809,217.476,33.341,Starvation,-1.016044
1,-8682,Prey,-1,0,13.818,1.129,2.087,244.727,33.341,Starvation,0.3826332
1,-8822,Prey,-1,0,14.032,1.018,3.482,226.780,33.341,Starvation,-1.282708
1,-8962,Prey,-1,0,18.143,1.123,3.051,204.273,33.341,Starvation,0.1914767
1,-9242,Prey,-1,0,13.724,1.133,3.316,247.401,33.341,Starvation,-1.016044
1,-9522,Prey,-1,0,12.126,1.097,2.286,211.047,33.341,Starvation,-1.016044
1,-9662,Prey,-1,0,12.749,1.034,2.370,200.931,33.341,Starvation,-0.3938332
1,-9802,Prey,-1,0,16.454,1.061,2.550,218.288,33.341,Starvation,-1.016044
1,-9942,Prey,-1,0,17.811,1.086,2.743,244.901,33.341,Starvation,-1.016044
1,-10082,Prey,-1,0,10.030,1.246,1.518,241.233,33.341,Starvation,-1.016044
1,-10362,Prey,-1,0,16.567,1.458,2.398,220.242,33.341,Starvation,-1.016044
1,-10502,Prey,-1,0,11.060,1.369,1.876,208.977,33.341,Starvation,-1.016044
1,-6722,Prey,-1,0,11.957,0.875,2.417,201.295,42.781,Starvation,-0.1976835
1,-10222,Prey,-1,0,14.039,1.202,3.296,242.713,44.821,Starvation,2.350886
1,-7002,Prey,-1,0,11.067,0.948,2.367,241.549,46.661,Starvation,0.7436222
1,-6862,Prey,-1,0,19.949,1.445,2.231,226.422,50.001,Dehydration,1.632212
1,-8262,Prey,-1,0,16.753,1.453,1.956,202.112,50.001,Dehydration,0.04992962
1,-7702,Prey,-1,0,15.120,0.817,2.138,245.339,50.821,Starvation,2.159061
1,-9102,Prey,-1,0,18.417,1.207,2.438,229.049,77.439,Dehydration,4.159499
1,-8542,Prey,-1,0,16.869,1.047,3.413,223.459,81.178,Starvation,3.804988
1,-9382,Prey,-1,0,13.469,1.299,2.360,220.574,129.171,Starvation,11.61668
1,-10642,Prey,-1,0,15.858,1.078,2.992,210.756,170.320,Starvation,19.0648
1,-7982,Prey,-1,0,12.583,1.092,2.459,222.226,172.300,Dehydration,19.75568
2,-12208,Prey,-1,0,11.794,1.320,3.148,223.824,33.341,Starvation,-1.116045
2,-12348,Prey,-1,0,12.181,1.374,3.059,226.077,33.341,Starvation,-1.016044
2,-12488,Prey,-1,0,11.889,1.457,2.188,229.176,33.341,Starvation,0.5167327
2,-12628,Prey,-1,0,13.825,1.268,3.042,245.905,33.341,Starvation,-0.3968348
2,-12768,Prey,-1,0,12.773,1.460,2.313,247.447,33.341,Starvation,-0.1160384
2,-13608,Prey,-1,0,10.863,1.341,2.102,215.386,33.341,Starvation,-0.08312154
2,-13888,Prey,-1,0,14.667,1.409,3.414,229.340,33.341,Starvation,-1.066044
2,-14028,Prey,-1,0,13.873,1.127,1.992,249.402,33.341,Starvation,-1.016044
2,-14168,Prey,-1,0,11.881,1.219,1.710,207.802,33.341,Starvation,-1.016044
2,-14448,Prey,-1,0,11.244,0.900,2.255,216.088,33.341,Starvation,-1.016044
2,-14868,Prey,-1,0,13.289,1.373,1.967,212.885,33.341,Starvation,-0.416042
2,-15008,Prey,-1,0,13.534,1.093,2.372,225.856,33.341,Starvation,-0.4050968
2,-15428,Prey,-1,0,16.627,0.996,2.023,219.625,33.341,Starvation,-1.016044
2,-15568,Prey,-1,0,19.340,1.220,1.616,210.428,33.341,Starvation,-1.016044
2,-14588,Prey,-1,0,14.077,1.079,1.869,212.612,40.661,Starvation,-0.85484
2,-16128,Prey,-1,0,15.034,1.493,3.120,235.380,40.661,Starvation,-0.8196276
2,-15848,Prey,-1,0,10.023,1.299,3.246,242.377,47.981,Starvation,1.876521
2,-16268,Prey,-1,0,13.402,0.947,2.943,247.609,47.981,Starvation,1.032671
2,-13328,Prey,-1,0,12.947,1.463,2.408,203.121,50.001,Dehydration,1.904617
2,-15708,Prey,-1,0,12.970,0.803,3.033,238.743,62.201,Starvation,4.796542
2,-12908,Prey,-1,0,19.060,1.173,3.159,209.619,66.681,Starvation,6.0652
2,-15288,Prey,-1,0,18.384,1.300,3.333,208.515,73.640,Starvation,1.318972
2,-13468,Prey,-1,0,13.147,1.449,3.422,238.081,82.498,Starvation,9.517823
2,-13188,Prey,-1,0,15.087,0.999,2.069,235.360,87.197,Starvation,6.500807
2,-15988,Prey,-1,0,11.498,1.030,2.293,237.198,95.816,Dehydration,4.281102
2,-13048,Prey,-1,0,12.801,1.332,2.130,233.068,108.114,Starvation,9.064101
2,-13748,Prey,-1,0,17.820,0.956,3.411,232.709,110.993,Dehydration,4.997961
2,-14308,Prey,-1,0,10.910,1.287,2.374,213.217,115.753,Starvation,7.109125
2,-15148,Prey,-1,0,10.073,0.811,2.666,222.393,120.092,Dehydration,4.686073
2,-14728,Prey,-1,0,14.550,1.288,2.484,242.380,161.498,Starvation,13.77981
3,-16686,Prey,-1,0,10.385,1.156,1.645,235.216,33.341,Starvation,-2.449395
3,-17386,Prey,-1,0,15.470,1.441,2.876,206.113,33.341,Starvation,0.2130116
3,-18366,Prey,-1,0,16.240,1.363,1.709,226.848,33.341,Starvation,-3.599351
3,-19066,Prey,-1,0,13.900,1.032,3.432,216.872,33.341,Starvation,-2.782728
3,-20466,Prey,-1,0,12.453,1.206,2.476,240.408,33.341,Starvation,-1.016044
3,-20186,Prey,-1,0,13.538,1.055,3.206,224.742,37.221,Starvation,-0.8021531
3,-19206,Prey,-1,0,18.771,0.826,1.632,224.478,39.101,Starvation,-1.174709
3,-16826,Prey,-1,0,14.293,1.026,3.115,203.610,40.661,Starvation,-0.9391516
3,-20606,Prey,-1,0,15.858,1.180,2.780,244.465,40.661,Starvation,0.1146742
3,-18786,Prey,-1,0,13.199,1.165,1.678,221.075,43.601,Starvation,-0.2718073
3,-16966,Prey,-1,0,12.950,1.277,1.747,205.407,47.521,Starvation,0.9451064
3,-19486,Prey,-1,0,12.775,1.297,2.851,246.059,47.821,Starvation,1.692971
3,-17106,Prey,-1,0,11.274,1.184,2.731,211.852,50.001,Dehydration,1.138385
3,-17246,Prey,-1,0,19.245,1.330,2.738,230.806,50.001,Dehydration,1.062485
3,-17946,Prey,-1,0,13.826,1.284,2.193,234.564,50.001,Dehydration,0.203673
3,-19346,Prey,-1,0,17.685,1.232,1.954,247.219,50.001,Dehydration,0.7394048
3,-19906,Prey,-1,0,17.148,1.355,3.219,202.998,50.001,Dehydration,0.2961538
3,-17666,Prey,-1,0,11.074,1.104,2.354,243.106,50.461,Starvation,-0.8112087
3,-17526,Prey,-1,0,18.662,1.336,2.028,206.777,51.741,Starvation,2.468144
3,-18226,Prey,-1,0,11.956,0.919,2.255,210.441,51.981,Dehydration,0.5661758
3,-18086,Prey,-1,0,18.496,0.950,3.181,229.475,70.600,Starvation,2.105943
3,-20046,Prey,-1,0,18.160,1.169,1.837,213.081,76.999,Starvation,5.888179
3,-17806,Prey,-1,0,16.440,1.259,3.466,217.137,78.179,Starvation,6.094296
3,-18506,Prey,-1,0,14.882,1.380,1.945,248.766,98.655,Starvation,10.37628
3,-16546,Prey,-1,0,18.944,0.806,2.626,230.024,101.735,Dehydration,5.820256
3,-18646,Prey,-1,0,17.639,0.843,2.950,233.931,104.095,Dehydration,7.424079
3,-19626,Prey,-1,0,14.999,1.190,3.056,207.475,116.772,Starvation,13.44291
3,-19766,Prey,-1,0,19.624,1.208,3.208,207.236,124.191,Starvation,8.70635
3,-20326,Prey,-1,0,16.961,1.277,2.050,221.613,151.556,Starvation,13.44802
3,-18926,Prey,-1,0,14.508,1.253,2.748,208.121,164.598,Starvation,18.24526
4,-23686,Prey,-1,0,12.650,1.167,1.841,206.276,33.341,Starvation,-1.016044
4,-23826,Prey,-1,0,15.049,1.299,2.616,232.175,33.341,Starvation,0.1890792
4,-21866,Prey,-1,0,17.266,1.143,2.843,224.624,39.321,Starvation,1.672006
4,-21726,Prey,-1,0,18.752,1.459,2.084,207.582,40.661,Starvation,1.307242
4,-22986,Prey,-1,0,14.041,1.039,2.026,229.311,40.661,Starvation,-0.927533
4,-23126,Prey,-1,0,13.310,1.475,3.383,205.938,40.661,Starvation,0.8580272
4,-24246,Prey,-1,0,14.605,1.126,2.493,227.199,40.661,Starvation,1.132248
4,-21306,Prey,-1,0,17.580,1.026,2.062,227.227,41.641,Starvation,0.5112271
4,-20886,Prey,-1,0,11.020,0.986,2.275,225.530,50.001,Dehydration,0.4174064
4,-21026,Prey,-1,0,12.385,0.887,2.008,221.807,50.001,Dehydration,1.581297
4,-21446,Prey,-1,0,14.974,1.169,3.386,244.665,50.001,Dehydration,1.839006
4,-24386,Prey,-1,0,10.628,1.238,2.981,226.942,50.001,Dehydration,1.923129
