episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst,diedFromHealthOver
1,0.00,58.82,58.82,32.078,69.185,0.000,30,0,0,0,6,1,0,0.000,0,0,25,5,0
2,58.82,183.14,124.32,63.671,54.200,3.517,30,0,0,0,9,6,0,0.000,0,0,30,0,0
3,183.14,346.28,163.14,127.623,54.647,2.233,31,0,1,0,26,9,1,1.500,0,0,23,8,0
4,346.28,476.36,130.08,149.766,55.208,1.183,31,0,1,0,38,13,1,1.500,0,0,22,9,0
5,476.36,618.40,142.04,225.235,57.961,1.283,32,0,1,0,55,17,2,3.000,0,0,24,8,0
6,618.40,796.40,178.00,163.686,72.136,6.050,30,0,0,0,54,14,0,0.000,0,0,16,14,0
7,796.40,1025.46,229.06,306.148,72.383,9.400,34,0,1,0,77,25,4,7.500,0,1,22,12,0
8,1025.46,1242.70,217.24,280.841,86.058,1.783,32,0,1,0,81,24,2,4.500,0,1,14,17,0
9,1242.70,1439.96,197.26,331.039,68.725,5.733,31,0,1,0,106,34,1,2.400,0,0,14,17,0
10,1439.96,1637.52,197.56,283.973,74.893,8.183,32,0,1,0,85,21,2,5.550,0,0,16,16,0
11,1637.52,1826.82,189.30,380.000,67.632,5.442,33,0,1,0,110,30,3,13.050,0,0,14,19,0
12,1826.82,2022.94,196.12,324.704,67.671,2.600,32,0,1,0,94,32,2,4.800,0,0,20,12,0
13,2022.94,2221.78,198.84,457.783,78.496,7.033,35,0,1,0,127,35,5,8.400,0,0,16,19,0
14,2221.78,2450.02,228.24,484.662,79.321,7.033,36,0,1,0,133,38,6,12.750,0,2,14,20,0
15,2450.02,2825.00,374.98,924.740,109.597,9.618,44,0,3,0,245,76,14,21.750,0,9,11,24,0
16,2825.00,3080.98,255.98,691.852,94.753,11.452,42,0,2,0,158,56,12,20.700,0,0,22,20,0
17,3080.98,3318.94,237.96,677.588,112.442,16.519,40,0,2,0,168,57,10,22.950,0,1,14,25,0
18,3318.94,3611.14,292.20,766.813,92.477,13.219,42,0,2,0,198,62,12,21.599,0,5,16,21,0
19,3611.14,3967.76,356.62,1035.270,117.652,12.077,48,0,3,0,254,73,18,47.698,0,6,12,30,0
20,3967.76,4386.90,419.14,1026.797,112.382,10.399,49,0,3,0,230,85,19,38.548,0,5,21,23,0
21,4386.90,4764.46,377.56,1249.093,138.916,15.071,52,0,4,0,302,89,22,47.848,0,9,17,26,0
22,4764.46,5201.00,436.54,1742.254,177.168,21.870,63,0,4,0,373,135,33,59.848,0,13,23,27,0
23,5201.00,5695.98,494.98,2206.966,179.722,21.970,78,0,5,0,449,162,48,92.546,0,14,31,33,0
24,5695.98,6130.50,434.52,1732.467,154.032,13.905,65,0,4,0,375,128,35,61.498,0,11,24,30,0
25,6130.50,6577.16,446.66,1601.880,155.181,18.521,59,0,4,0,339,119,29,61.508,0,12,24,24,0
26,6577.16,6981.18,404.02,1591.039,120.385,7.148,55,0,4,0,329,112,25,53.109,0,16,20,19,0
27,6981.18,7391.96,410.78,1290.412,127.300,14.621,51,0,4,0,260,98,21,50.558,0,8,26,17,0
28,7391.96,7707.08,315.12,1140.984,107.386,20.253,50,0,3,0,228,75,20,40.357,0,6,23,21,0
29,7707.08,8276.46,569.38,1341.826,114.077,7.840,51,0,3,0,277,101,21,47.258,0,12,22,17,0
30,8276.46,8672.48,396.02,1615.813,162.711,18.745,58,0,4,0,334,111,28,55.209,0,11,21,26,0
31,8672.48,9034.00,361.52,893.955,80.804,7.898,40,0,2,0,202,68,10,33.605,0,7,20,13,0
32,9034.00,9358.98,324.98,1343.908,122.208,19.412,51,0,2,0,274,103,21,44.257,0,12,21,18,0
33,9358.98,9841.94,482.96,2012.010,306.200,130.327,65,0,5,0,383,138,35,85.214,0,15,24,27,0
34,9841.94,10321.54,479.60,2060.381,169.176,33.009,69,0,5,0,378,129,39,84.464,0,16,28,25,0
35,10321.54,10882.50,560.96,2408.213,250.437,65.045,81,0,5,0,436,161,51,93.915,0,13,39,29,0
36,10882.50,11430.10,547.60,2187.168,193.547,18.572,82,0,5,0,510,177,52,99.166,0,20,20,42,0
37,11430.10,11786.60,356.50,904.594,91.291,9.956,48,0,3,0,227,86,18,39.606,0,8,27,13,0
38,11786.60,12205.86,419.26,1529.137,119.940,7.015,63,0,4,0,355,137,33,76.062,0,13,27,23,0
39,12205.86,12712.48,506.62,1813.844,153.296,26.739,72,0,6,0,407,165,42,84.164,0,15,36,21,0
40,12712.48,13285.82,573.34,2258.281,186.578,29.044,81,0,5,0,492,200,51,111.468,0,27,36,18,0
41,13285.82,13879.34,593.52,1551.469,130.822,23.999,65,0,6,0,374,146,35,78.913,0,19,28,18,0
