episode,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,maxPreyGeneration,maxPredatorGeneration,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
1,58.38,29.133,29.303,0.0,20,0,0,0,1,2,0,0.0,0,0,18,2
2,67.0,36.153,37.646,0.0,20,0,0,0,5,1,0,0.0,0,1,16,3
3,50.0,50.92,34.899,0.017,20,0,0,0,11,1,0,0.0,0,0,13,7
4,61.56,40.875,29.967,0.0,20,0,0,0,6,0,0,0.0,0,1,15,4
5,52.0,41.863,29.042,0.0,20,0,0,0,8,0,0,0.0,0,0,12,8
6,56.52,28.089,38.036,0.217,20,0,0,0,3,0,0,0.0,0,1,17,2
7,53.92,48.595,34.283,0.0,20,0,0,0,6,1,0,0.0,0,1,15,4
8,63.48,48.884,36.421,0.0,20,0,0,0,8,1,0,0.0,0,1,15,4
9,63.36,63.536,32.664,0.0,20,0,0,0,13,1,0,0.0,0,2,12,6
10,65.12,55.579,27.791,0.0,20,0,0,0,15,0,0,0.0,0,3,11,6
11,64.82,71.42,30.311,0.583,20,0,0,0,15,3,0,0.0,0,5,10,5
12,68.88,71.079,27.757,0.7,20,0,0,0,17,1,0,0.0,0,3,9,8
13,68.54,107.171,28.35,2.05,20,0,0,0,26,6,0,0.0,0,9,7,4
14,66.12,64.544,26.749,0.0,20,0,0,0,16,1,0,0.0,0,3,9,8
15,67.44,73.878,28.477,0.417,20,0,0,0,19,2,0,0.0,0,3,10,7
16,113.28,104.056,28.276,0.533,21,0,1,0,22,3,1,1.5,0,5,8,8
17,65.94,99.468,25.937,0.0,20,0,0,0,25,4,0,0.0,0,6,6,8
18,69.36,88.631,25.691,0.033,20,0,0,0,22,6,0,0.0,0,6,9,5
19,70.68,110.304,35.65,8.342,21,0,1,0,21,5,1,1.5,0,6,9,6
20,89.14,127.005,35.689,6.817,21,0,1,0,29,4,1,1.5,0,8,5,8
21,65.54,95.913,28.782,1.017,20,0,0,0,28,2,0,0.0,0,7,8,5
22,65.66,103.55,30.353,0.083,20,0,0,0,30,2,0,0.0,0,7,3,10
23,68.6,96.609,26.621,0.083,20,0,0,0,29,3,0,0.0,0,6,5,9
