episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
1,0,59.98,59.98,42.790,41.336,0.000,20,0,6,1,0,0.000,0,1,16,3
2,59.98,109.98,50.00,29.425,27.395,0.000,20,0,3,0,0,0.000,0,0,18,2
3,109.98,169.98,60.00,46.152,35.521,0.000,20,0,7,1,0,0.000,0,2,16,2
4,169.98,228.90,58.92,52.754,26.971,0.000,20,0,14,2,0,0.000,0,0,11,9
5,228.90,288.90,60.00,57.390,26.119,0.000,20,0,13,0,0,0.000,0,3,13,4
6,288.90,379.88,90.98,89.672,32.650,2.350,21,0,19,4,1,1.500,0,6,11,4
7,379.88,439.88,60.00,72.053,27.525,0.100,20,0,19,2,0,0.000,0,5,10,5
8,439.88,542.66,102.78,96.040,27.755,0.000,21,0,24,2,1,1.500,0,5,7,9
9,542.66,602.66,60.00,92.399,26.091,0.000,20,0,26,4,0,0.000,0,5,6,9
10,602.66,662.66,60.00,85.194,36.639,9.633,20,0,24,1,0,0.000,0,1,5,14
