episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
1,0,59.98,59.98,39.742,31.785,0.000,20,0,5,2,0,0.000,0,1,16,3
2,59.98,111.98,52.00,37.260,29.767,0.000,20,0,5,1,0,0.000,0,0,14,6
3,111.98,171.32,59.34,37.579,35.582,0.000,20,0,6,2,0,0.000,0,0,15,5
4,171.32,221.32,50.00,39.950,32.828,0.183,20,0,7,0,0,0.000,0,0,15,5
5,221.32,281.32,60.00,48.919,44.827,0.000,20,0,8,1,0,0.000,0,2,13,5
6,281.32,341.32,60.00,47.483,35.372,6.767,20,0,8,0,0,0.000,0,1,14,5
7,341.32,404.00,62.68,64.680,29.790,0.733,21,0,10,3,1,1.500,0,3,12,6
8,404.00,464.00,60.00,46.131,26.827,0.083,20,0,9,1,0,0.000,0,2,12,6
9,464.00,522.94,58.94,61.201,37.037,0.000,20,0,16,0,0,0.000,0,0,11,9
10,522.94,582.94,60.00,61.620,31.526,0.000,20,0,13,2,0,0.000,0,3,12,5
11,582.94,675.32,92.38,69.989,34.785,3.017,21,0,15,2,1,1.500,0,2,11,8
12,675.32,735.32,60.00,58.330,29.999,0.000,20,0,14,1,0,0.000,0,2,8,10
13,735.32,795.32,60.00,63.778,28.910,0.200,20,0,15,2,0,0.000,0,2,10,8
14,795.32,882.00,86.68,101.551,46.082,16.825,22,0,25,3,2,3.000,0,4,9,9
15,882.00,942.00,60.00,79.521,29.735,2.750,20,0,22,3,0,0.000,0,5,8,7
16,942.00,1002.00,60.00,81.833,32.006,5.850,20,0,23,2,0,0.000,0,3,8,9
17,1002.00,1062.00,60.00,80.866,35.351,8.817,20,0,20,3,0,0.000,0,4,6,10
18,1062.00,1122.00,60.00,79.507,26.587,0.167,20,0,22,1,0,0.000,0,4,7,9
19,1122.00,1192.34,70.34,93.717,29.924,0.000,21,0,25,1,1,1.500,0,5,6,10
20,1192.34,1252.34,60.00,94.306,35.575,8.767,20,0,30,2,0,0.000,0,4,4,12
21,1252.34,1312.34,60.00,88.166,37.086,10.375,20,0,26,2,0,0.000,0,5,6,9
22,1312.34,1372.34,60.00,76.940,31.743,5.001,20,0,25,2,0,0.000,0,4,5,11
23,1372.34,1432.34,60.00,89.715,28.188,1.834,20,0,26,4,0,0.000,0,8,6,6
24,1432.34,1492.34,60.00,77.740,32.469,6.018,20,0,24,1,0,0.000,0,3,9,8
25,1492.34,1603.66,111.32,114.567,36.382,8.585,21,0,33,1,1,1.500,0,8,3,10
26,1603.66,1663.66,60.00,105.060,25.817,0.117,20,0,34,3,0,0.000,0,9,4,7
27,1663.66,1723.66,60.00,103.756,26.302,0.467,20,0,31,3,0,0.000,0,6,4,10
28,1723.66,1818.66,95.00,112.091,28.461,1.517,21,0,30,5,1,1.500,0,7,7,7
29,1818.66,1909.14,90.48,97.944,30.839,3.734,21,0,26,4,1,1.500,0,6,6,9
30,1909.14,1969.14,60.00,102.082,26.370,0.000,20,0,31,3,0,0.000,0,8,4,8
31,1969.14,2029.14,60.00,115.243,29.363,3.167,20,0,34,3,0,0.000,0,8,3,9
32,2029.14,2089.14,60.00,113.117,40.006,12.203,20,0,35,2,0,0.000,0,8,3,9
33,2089.14,2149.14,60.00,120.417,27.625,1.250,20,0,34,5,0,0.000,0,8,4,8
34,2149.14,2209.14,60.00,115.445,29.639,1.434,20,0,31,3,0,1.500,0,6,6,8
35,2209.14,2315.00,105.86,164.356,27.108,0.000,22,0,42,8,2,3.150,0,11,3,8
36,2315.00,2421.00,106.00,129.842,27.030,0.367,21,0,37,4,1,1.500,0,10,3,8
37,2421.00,2481.00,60.00,109.115,31.086,3.901,20,0,33,4,0,0.000,0,6,6,8
38,2481.00,2593.32,112.32,159.951,29.067,2.100,22,0,43,8,2,3.000,0,12,3,7
