episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
1,0.0,59.98,59.98,109.126,30.426,1.833,20,0,26,9,0,0.000,0,8,9,3
2,0.0,123.66,123.66,111.141,30.074,0.850,21,0,25,8,1,1.500,0,5,14,2
3,0.0,183.66,183.66,97.187,25.907,0.167,20,0,22,6,0,0.000,0,3,15,2
4,0.0,243.66,243.66,110.183,29.480,1.017,20,0,25,9,0,0.000,0,5,13,2
5,0.0,303.66,303.66,102.440,29.744,0.933,20,0,25,8,0,0.000,0,7,10,3
6,0.0,379.04,379.04,127.109,31.121,0.117,22,0,25,11,2,3.000,0,8,13,1
7,0.0,439.04,439.04,108.119,28.591,1.467,20,0,25,9,0,0.000,0,7,13,0
8,0.0,532.00,532.00,141.135,30.493,1.250,22,0,29,10,2,3.000,0,8,13,1
9,0.0,592.00,592.00,93.827,26.101,0.083,20,0,23,4,0,0.000,0,3,16,1
10,0.0,655.00,655.00,114.267,27.309,0.217,21,0,24,9,1,1.500,0,5,15,1
11,0.0,716.34,716.34,112.126,32.067,1.833,21,0,25,9,1,1.500,0,6,13,2
12,0.0,814.32,814.32,118.077,32.038,1.450,21,0,27,7,1,1.500,0,4,15,2
13,0.0,874.32,874.32,101.960,37.290,0.367,20,0,22,9,0,0.000,0,6,13,1
14,0.0,973.32,973.32,143.113,32.013,0.267,23,0,28,12,3,4.500,0,7,15,1
15,0.0,1059.32,1059.32,106.634,34.211,0.533,21,0,26,7,1,1.500,0,1,13,7
16,0.0,1119.32,1119.32,106.334,27.456,0.800,20,0,25,10,0,0.000,0,7,12,1
17,0.0,1179.32,1179.32,105.006,26.253,0.717,20,0,24,10,0,0.000,0,4,12,4
18,0.0,1239.32,1239.32,107.127,29.465,0.167,20,0,25,9,0,0.000,0,5,12,3
19,0.0,1299.32,1299.32,106.427,28.822,1.183,20,0,25,8,0,0.000,0,5,14,1
20,0.0,1364.66,1364.66,119.861,32.177,2.175,22,0,25,10,2,3.000,0,7,14,1
21,0.0,1459.66,1459.66,123.023,34.051,0.333,22,0,27,12,2,3.000,0,4,15,3
22,0.0,1550.32,1550.32,121.419,30.689,1.400,21,0,26,9,1,1.500,0,7,12,2
23,0.0,1646.32,1646.32,121.563,39.480,0.417,21,0,27,8,1,1.500,0,9,11,1
24,0.0,1736.00,1736.00,131.471,35.130,0.350,22,0,27,10,2,3.000,0,4,15,3
25,0.0,1796.00,1796.00,106.994,32.465,1.850,20,0,25,10,0,0.000,0,4,13,3
26,0.0,1866.66,1866.66,108.981,36.034,0.000,21,0,23,10,1,1.500,0,2,17,2
27,0.0,1926.66,1926.66,109.823,30.791,0.867,20,0,24,12,0,0.000,0,6,13,1
28,0.0,1986.66,1986.66,102.004,26.550,1.033,20,0,25,10,0,0.000,0,4,11,5
29,0.0,2053.00,2053.00,119.849,28.147,1.750,21,0,25,9,1,1.500,0,4,15,2
30,0.0,2145.66,2145.66,123.462,31.032,1.783,21,0,27,10,1,1.500,0,5,15,1
31,0.0,2205.66,2205.66,100.733,26.532,0.600,20,0,24,8,0,0.000,0,4,12,4
32,0.0,2297.00,2297.00,146.988,31.202,0.933,23,0,33,8,3,4.500,0,7,10,6
33,0.0,2357.00,2357.00,104.645,29.823,2.717,20,0,25,10,0,0.000,0,5,13,2
34,0.0,2449.32,2449.32,126.653,39.142,3.117,22,0,26,9,2,3.000,0,5,15,2
35,0.0,2509.32,2509.32,104.884,35.709,7.108,20,0,25,8,0,0.000,0,7,12,1
