episode,startTime,endTime,aliveTime,spawned,dead,rewardSum
1,0.00,33.32,33.32,0,1,7.503
2,33.32,86.64,53.32,0,2,12.418
3,86.64,126.96,40.32,0,2,11.308
4,126.96,160.30,33.34,0,2,8.527
5,160.30,206.30,46.00,0,1,7.806
6,206.30,246.62,40.32,0,1,5.083
7,246.62,305.58,58.96,0,2,18.747
8,305.58,351.50,45.92,0,2,3.120
9,351.50,384.84,33.34,0,1,10.543
10,384.84,418.18,33.34,0,1,5.983
11,418.18,462.06,43.88,0,1,10.500
12,462.06,495.40,33.34,0,1,6.703
13,495.40,543.40,48.00,0,1,9.123
14,543.40,603.40,60.00,0,1,11.459
15,603.40,638.74,35.34,0,1,5.983
16,638.74,698.74,60.00,0,2,11.335
17,698.74,740.94,42.20,0,2,8.807
18,740.94,774.28,33.34,0,2,17.967
19,774.28,807.62,33.34,0,1,9.903
20,807.62,854.08,46.46,0,1,10.017
21,854.08,893.44,39.36,0,1,11.151
22,893.44,926.78,33.34,0,2,15.727
23,926.78,960.12,33.34,0,2,9.085
24,960.12,993.46,33.34,0,1,7.183
25,993.46,1036.32,42.86,0,1,9.303
26,1036.32,1072.46,36.14,0,1,5.983
27,1072.46,1105.80,33.34,0,1,7.503
28,1105.80,1149.00,43.20,0,2,11.761
