episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
1,0,59.98,59.98,47.567,29.190,0.000,20,0,7,1,0,0.000,0,2,15,3
2,0,109.98,109.98,78.279,60.415,0.000,40,0,9,2,0,0.000,0,2,32,6
3,0,168.68,168.68,118.959,95.120,0.000,60,0,12,4,0,0.000,0,2,49,9
4,0,218.68,218.68,151.902,132.406,0.000,80,0,14,4,0,0.000,0,2,68,10
5,0,276.38,276.38,182.894,166.402,0.000,100,0,17,4,0,0.000,0,2,85,13
6,0,329.66,329.66,216.763,201.181,0.433,120,0,20,4,0,0.000,0,2,103,15
7,0,389.66,389.66,255.058,236.742,0.433,140,0,24,6,0,0.000,0,3,119,18
8,0,449.66,449.66,297.196,272.750,0.433,160,0,29,7,0,0.000,0,5,136,19
9,0,509.66,509.66,339.413,299.342,0.433,180,0,36,8,0,0.000,0,6,151,23
10,0,561.90,561.90,378.825,326.156,0.433,200,0,43,8,0,0.000,0,6,165,29
11,0,621.90,621.90,429.506,353.060,0.433,220,0,52,10,0,0.000,0,7,179,34
12,0,678.24,678.24,472.521,383.158,0.433,240,0,61,10,0,0.000,0,7,194,39
13,0,738.24,738.24,515.478,410.044,0.433,260,0,70,10,0,0.000,0,8,208,44
14,0,798.24,798.24,579.306,437.019,0.433,280,0,82,11,0,0.000,0,10,220,50
15,0,858.24,858.24,634.702,463.856,0.433,300,0,95,13,0,0.000,0,11,232,57
16,0,918.24,918.24,693.507,490.433,0.433,320,0,108,15,0,0.000,0,13,245,62
17,0,978.24,978.24,757.990,516.535,0.433,340,0,122,15,0,0.000,0,17,256,67
18,0,1038.24,1038.24,824.118,547.719,5.500,360,0,139,18,0,0.000,0,19,268,73
19,0,1098.24,1098.24,901.898,578.358,9.767,380,0,157,23,0,0.000,0,24,278,78
20,0,1158.24,1158.24,969.411,614.468,19.333,400,0,174,24,0,0.000,0,26,290,84
21,0,1218.24,1218.24,1028.099,652.548,30.883,420,0,189,24,0,0.000,0,27,302,91
22,0,1278.24,1278.24,1093.775,681.506,32.533,440,0,207,25,0,0.000,0,30,311,99
23,0,1338.24,1338.24,1158.202,708.346,32.833,460,0,222,27,0,0.000,0,33,323,104
24,0,1398.24,1398.24,1234.335,734.914,33.033,480,0,241,30,0,0.000,0,37,333,110
25,0,1458.24,1458.24,1293.314,769.102,35.633,500,0,256,30,0,0.000,0,38,346,116
26,0,1518.24,1518.24,1361.487,796.103,35.633,520,0,274,32,0,0.000,0,41,356,123
27,0,1578.24,1578.24,1435.240,825.278,38.800,540,0,292,34,0,0.000,0,45,367,128
28,0,1638.24,1638.24,1508.992,857.963,45.325,560,0,309,38,0,0.000,0,48,380,132
29,0,1698.24,1698.24,1588.036,883.908,45.325,580,0,327,43,0,0.000,0,52,389,139
30,0,1758.24,1758.24,1661.289,921.407,56.108,600,0,344,44,0,0.000,0,55,401,144
31,0,1818.24,1818.24,1734.178,950.821,59.208,620,0,363,47,0,0.000,0,58,412,150
32,0,1878.24,1878.24,1800.258,984.381,65.808,640,0,379,51,0,0.000,0,62,425,153
33,0,1975.00,1975.00,1894.300,1017.134,70.592,661,0,398,56,1,1.500,0,64,439,158
